Date,Vendor Code,Vendor,County,"Notes for ""Other",Product Description,Program,Proteins LBS,Starch LBS,Veg LBS,Fruit LBS,Baked Goods LBS,Dairy LBS,Grocery LBS,Indvid Meal LBS,Individ Meals,Total Pounds
1/4/2023,SMH,St. Margaret's House,SJ,,Bulk,CCFN,45.00,,,180.00,,,,0.00,,225.00
1/4/2023,SH,Store House,SJ,,Bread,CCFN,,,,,84.00,,,0.00,,84.00
1/4/2023,SH,Store House,SJ,,Bulk,CCFN,84.00,,6.00,170.00,182.00,,214.00,0.00,,656.00
1/4/2023,VET,VA Veterans,SJ,,Meals,CCFN,,,,,,,,352.50, 282.00 ,352.50
1/4/2023,FCDC,Family Christian Development Center,ELK,,Bulk,CCFN,120.00,,,,105.00,,304.00,0.00,,529.00
1/4/2023,MIL,Milford Food Bank,ELK,,Bulk,CCFN,,,,,"3,704.00",,,0.00,,"3,704.00"
1/4/2023,NAP,Nappanee Open Door,ELK,,Bulk,CCFN,36.00,,,,,,100.00,0.00,,136.00
1/4/2023,SALVG,Salvation Army: Goshen,ELK,,Bulk,CCFN,12.00,,,,,,,0.00,,12.00
1/4/2023,WANE,Wa-Nee Community Schools,ELK,,Meals & Bread,Backpack,,,,,,,,225.00, 180.00 ,225.00
1/5/2023,BGCE,Boys & Girls Club Elkhart County ,ELK,Middlebury,Bulk,Backpack,5.00,,,,5.60,,12.00,0.00,,22.60
1/5/2023,SUSS,Success Academy,SJ,,Meals,Backpack,,,,,,,,570.00, 456.00 ,570.00
1/5/2023,BRCKSJ,Brick of Hope - St Joe County,SJ,,Bulk,CCFN,461.50,,,32.50,81.20,18.00,150.00,0.00,,743.20
1/5/2023,BCP,Broadway Christian Parish,SJ,,Meals & Bulk,CCFN,26.25,,37.00,34.00,,,,112.50, 90.00 ,209.75
1/5/2023,CCFP,Clay Church Food Pantry,SJ,,Meals & Bread,CCFN,,,,,350.00,,,375.00, 300.00 ,725.00
1/5/2023,SALT,St. Mark Missionary: Salt Program,SJ,,Meals,Backpack,,,,,,,,60.00, 48.00 ,60.00
1/5/2023,LYD,Lydick UMC,SJ,,Bulk,CCFN,85.00,,,,,24.00,5.00,0.00,,114.00
1/5/2023,MVC,Miami Village Church,SJ,,Bulk,CCFN,25.00,,,35.00,58.80,15.00,,0.00,,133.80
1/5/2023,GP,The Grace Place,SJ,,Meals & Bulk,CCFN,116.00,,,33.25,98.35,,28.00,22.50, 18.00 ,298.10
1/5/2023,LADY,Our Lady of the Road,SJ,,Meals & Bulk,CCFN,156.00,,4.50,13.75,21.00,9.00,105.00,45.00, 36.00 ,354.25
1/5/2023,SAC,St Adalbert & Casimir Conference,SJ,,Bulk,CCFN,133.50,,24.00,66.00,39.20,,120.00,0.00,,382.70
1/5/2023,NC,New Carlisle UMC,SJ,,Bulk,CCFN,,,,,,,125.00,0.00,,125.00
1/5/2023,GCS,Goshen Schools: Chandler Elementary,ELK,,Meals,Backpack,,,,,,,,75.00, 60.00 ,75.00
1/5/2023,GCS,Goshen Schools: Goshen Intermediate ,ELK,,Meals,Backpack,,,,,,,,262.50, 210.00 ,262.50
1/5/2023,GCS,Goshen Schools: Model Elementary,ELK,,Meals,Backpack,,,,,,,,150.00, 120.00 ,150.00
1/5/2023,GCS,Goshen Schools: Parkside Elementary,ELK,,Meals,Backpack,,,,,,,,37.50, 30.00 ,37.50
1/5/2023,GCS,Goshen Schools: Prairie View Elementary,ELK,,Meals,Backpack,,,,,,,,15.00, 12.00 ,15.00
1/5/2023,GCS,Goshen Schools: Waterford Elementary,ELK,,Meals,Backpack,,,,,,,,112.50, 90.00 ,112.50
1/5/2023,GCS,Goshen Schools: West Goshen Elementary,ELK,,Meals,Backpack,,,,,,,,157.50, 126.00 ,157.50
1/5/2023,GFP,Gymtown Food Pantry,ELK,,Meals & Bread,CCFN,,,,,56.00,,,45.00, 36.00 ,101.00
1/5/2023,GFP,Gymtown Food Pantry,ELK,,Bulk,CCFN,48.00,,39.50,,172.20,214.00,345.00,0.00,,818.70
1/5/2023,HCH,Heart City Health - Simpson,ELK,,Meals,CCFN,,,,,,,,247.50, 198.00 ,247.50
1/5/2023,MIDD,Middlebury Food Pantry,ELK,,Bread,CCFN,,,,,280.00,,,0.00,,280.00
1/5/2023,MIDD,Middlebury Food Pantry,ELK,,Meals & Bulk,CCFN,80.00,,30.00,,,,70.00,0.00,,180.00
1/5/2023,OG,Open Gate,ELK,,Bulk,CCFN,96.00,,50.75,39.00,,,,0.00,,185.75
1/5/2023,THB,The Hub Bristol,ELK,,Bread,CCFN,,,,,70.00,,,0.00,,70.00
1/5/2023,THB,The Hub Bristol,ELK,,Bulk,CCFN,211.00,,104.50,29.75,158.55,7.00,211.00,0.00,,721.80
1/6/2023,MHM,Monastery of the Holy Martyrs,MAR,,Meals & Bulk,CCFN,420.50,,32.75,110.50,252.00,169.00,169.00,150.00, 120.00 ,"1,303.75"
1/6/2023,BRCKSJ,Brick of Hope - St Joe County,SJ,,Bulk,CCFN,72.25,,,125.00,,,335.00,0.00,,532.25
1/6/2023,MRN,Maranatha Missionary Baptist Church,SJ,,Meals & Bulk,CCFN,80.00,,15.00,10.00,75.60,,35.00,150.00, 120.00 ,365.60
1/6/2023,OAK,Oaklawn: Hope Ave,SJ,,Bulk,CCFN,65.50,,,10.00,95.25,,,0.00,,170.75
1/6/2023,BC,Briarcliff Rehab,SJ,,Bread,CCFN,,,,,10.00,,,0.00,,10.00
1/6/2023,MIL,Milford Food Bank,ELK,,Bulk,CCFN,,,,,"1,764.00",,"1,721.00",0.00,,"3,485.00"
1/9/2023,MW,Midwest Food Bank,OTH,,Bulk,CCFN,,,"2,520.00",,,,"1,056.00",0.00,,"3,576.00"
1/9/2023,CATH,Catholic Charities,SJ,,Bulk,CCFN,9.00,,,8.00,,156.00,21.00,0.00,,194.00
1/9/2023,CTA,Christ Temple Apostolic Church,SJ,,Bulk,CCFN,29.00,,,,,93.00,222.00,0.00,,344.00
1/9/2023,CCFP,Clay Church Food Pantry,SJ,,Meals,CCFN,,,,,,,,375.00, 300.00 ,375.00
1/9/2023,LYD,Lydick UMC,SJ,,Bulk,CCFN,,,,,,96.00,324.00,0.00,,420.00
1/9/2023,DUC,Ducomb Center of St. Joseph County,SJ,,Meals,CCFN,,,,,,,,442.50, 354.00 ,442.50
1/9/2023,SGFP,South Gate Food Pantry,SJ,,Bulk,CCFN,4.00,,,,,30.00,15.00,0.00,,49.00
1/9/2023,DSP,Downtown Soup Kitchen,SJ,,Bulk,CCFN,67.00,,,,2.86,,,0.00,,69.86
1/10/2023,BC,Briarcliff Rehab,SJ,,Bulk,CCFN,,,,,49.00,,,0.00,,49.00
1/10/2023,VINC,St. Vincent de Paul: St Pius,ELK,,Meals,CCFN,,,,,,,,75.00, 60.00 ,75.00
1/11/2023,BGCE,Boys & Girls Club Elkhart County ,ELK,Bremen,Bulk,Backpack,,,,,,,538.00,0.00,,538.00
1/11/2023,BL,Bread of Life,MAR,,Bread,CCFN,,,,,420.00,,,0.00,,420.00
1/11/2023,BL,Bread of Life,MAR,,Bulk,CCFN,,,5.00,5.00,,297.00,"1,376.00",0.00,,"1,683.00"
1/11/2023,DAV,David's Courage,MAR,,Bulk,CCFN,,,,,18.25,33.50,,0.00,,51.75
1/11/2023,MCNC,Marshall County Neighborhood Center,MAR,,Bread,CCFN,,,,,280.00,,,0.00,,280.00
1/11/2023,MCNC,Marshall County Neighborhood Center,MAR,,Bulk,CCFN,12.50,,9.50,,,142.50,115.00,0.00,,279.50
1/11/2023,MHM,Monastery of the Holy Martyrs,MAR,,Bread,CCFN,,,,,168.00,,,0.00,,168.00
1/11/2023,MHM,Monastery of the Holy Martyrs,MAR,,Meals & Bulk,CCFN,415.50,,27.75,98.00,23.45,263.00,898.00,142.50, 114.00 ,"1,868.20"
1/11/2023,OC,Oakhaven Community,MAR,,Bulk,CCFN,50.00,,,,30.80,,,0.00,,80.80
1/11/2023,PLY,Plymouth Comm Schools: Ancilla College,MAR,,Meals,Backpack,,,,,,,,"2,812.50"," 2,250.00 ","2,812.50"
1/11/2023,SER,Serenity House,MAR,,Bulk,CCFN,,,,,,54.00,,0.00,,54.00
1/11/2023,BRE,Bremen Schools,MAR,,Meals,Backpack,,,,,,,,375.00, 300.00 ,375.00
1/11/2023,LVL,LaVille Elementary,SJ,,Meals,Backpack,,,,,,,,300.00, 240.00 ,300.00
1/11/2023,BRCKSJ,Brick of Hope - St Joe County,SJ,,Bulk,CCFN,448.00,,20.75,14.25,,24.00,444.00,0.00,,951.00
1/11/2023,BCP,Broadway Christian Parish,SJ,,Bulk,CCFN,,,16.50,15.00,,166.00,177.00,0.00,,374.50
1/11/2023,BCP,Broadway Christian Parish,SJ,,Meals & Bulk,CCFN,42.00,,,,,,21.00,150.00, 120.00 ,213.00
1/11/2023,LYD,Lydick UMC,SJ,,Bulk,CCFN,387.00,,,,,,6.25,0.00,,393.25
1/11/2023,OAK,Oaklawn: Hope Ave,SJ,,Bulk,CCFN,85.00,,10.50,10.25,1.50,67.00,184.00,0.00,,358.25
1/11/2023,STA,St Augustine's Parish,SJ,,Bulk,CCFN,17.00,,,,,,132.00,0.00,,149.00
1/11/2023,SMH,St. Margaret's House,SJ,,Bulk,CCFN,180.00,,12.25,90.00,,15.00,,0.00,,297.25
1/11/2023,VET,VA Veterans,SJ,,Meals,CCFN,,,,,,,,60.00, 48.00 ,60.00
1/11/2023,AIDS,Aids Ministries,SJ,,Bread,CCFN,,,,,70.00,,,0.00,,70.00
1/11/2023,SBCS,South Bend Community Schools: Madison STEAM Academy,SJ,,Meals,Backpack,,,,,,,,750.00, 600.00 ,750.00
1/11/2023,AIDS,Aids Ministries,SJ,,Bulk,CCFN,,,,,,6.00,30.00,0.00,,36.00
1/11/2023,ANT,Antioch Missionary Baptist Church,SJ,,Bulk,CCFN,99.25,,,,,,307.00,0.00,,406.25
1/11/2023,NC,New Carlisle UMC,SJ,,Bulk,CCFN,,,,,,,40.00,0.00,,40.00
1/11/2023,NC,New Carlisle UMC,SJ,,Bulk,CCFN,23.00,,35.00,,,60.00,,0.00,,118.00
1/11/2023,FCDC,Family Christian Development Center,ELK,,Bulk,CCFN,48.50,,10.00,,154.00,263.25,175.50,0.00,,651.25
1/11/2023,MIL,Milford Food Bank,ELK,,Bulk,CCFN,,,435.00,599.00,441.00,641.00,"2,039.00",0.00,,"4,155.00"
1/11/2023,NAP,Nappanee Open Door,ELK,,Bulk,CCFN,,,,,,75.00,575.25,0.00,,650.25
1/11/2023,SG,Saving Grace,ELK,,Meals & Bulk,CCFN,21.00,,4.00,,18.25,52.00,124.00,37.50, 30.00 ,256.75
1/11/2023,STP,St. Paul's UMC,ELK,,Meals & Bulk,CCFN,,,3.25,30.00,33.25,2.00,5.00,30.00, 24.00 ,103.50
1/11/2023,WANE,Wa-Nee Community Schools,ELK,,Meals & Bread,Backpack,,,,,,,,225.00, 180.00 ,225.00
1/12/2023,BGCE,Boys & Girls Club Elkhart County ,ELK,,Bulk,Backpack,176.75,,10.25,,5.00,54.00,362.00,0.00,,608.00
1/12/2023,ANON,Anonymous,SJ,,Meals,Backpack,,,,,,,,15.00, 12.00 ,15.00
1/12/2023,BRCKSJ,Brick of Hope - St Joe County,SJ,,Bulk,CCFN,224.00,,,,60.00,,136.50,0.00,,420.50
1/12/2023,SUSS,Success Academy,SJ,,Meals,Backpack,,,,,,,,570.00, 456.00 ,570.00
1/12/2023,BCP,Broadway Christian Parish,SJ,,Meals & Bulk,CCFN,3.00,,22.00,,3.00,20.00,63.00,75.00, 60.00 ,186.00
1/12/2023,CCFP,Clay Church Food Pantry,SJ,,Meals & Bread,CCFN,,,,,350.00,,,375.00, 300.00 ,725.00
1/12/2023,SALT,St. Mark Missionary: Salt Program,SJ,,Meals,Backpack,,,,,,,,30.00, 24.00 ,30.00
1/12/2023,SBCS,South Bend Community Schools: Darden,SJ,,Meals,Backpack,,,,,,,,337.50, 270.00 ,337.50
1/12/2023,GP,The Grace Place,SJ,,Bulk,CCFN,70.00,,13.00,345.00,4.00,76.00,348.00,0.00,,856.00
1/12/2023,LADY,Our Lady of the Road,SJ,,Meals & Bulk,CCFN,35.00,,37.00,107.00,,6.00,349.00,45.00, 36.00 ,579.00
1/12/2023,SAC,St Adalbert & Casimir Conference,SJ,,Meals & Bulk,CCFN,,,24.00,5.00,37.00,44.00,156.00,45.00, 36.00 ,311.00
1/12/2023,CCS,Church Community Services,ELK,,Bulk,CCFN,,,,,640.00,,,0.00,,640.00
1/12/2023,ELK,Elkhart Schools: Bristol,ELK,,Meals,Backpack,,,,,,,,307.50, 246.00 ,307.50
1/12/2023,ELK,Elkhart Schools: Northside Middle School,ELK,,Meals,Backpack,,,,,,,,150.00, 120.00 ,150.00
1/12/2023,ELK,Elkhart Schools: Pace Preschool/Hawthorne,ELK,,Meals,Backpack,,,,,,,,97.50, 78.00 ,97.50
1/12/2023,ELK,Elkhart Schools: Pride Academy,ELK,,Meals,Backpack,,,,,70.00,,,75.00, 60.00 ,145.00
1/12/2023,ELK,Elkhart Schools: Riverview,ELK,,Meals,Backpack,,,,,,,,195.00, 156.00 ,195.00
1/12/2023,GCS,Goshen Schools: Chandler Elementary,ELK,,Meals,Backpack,,,,,,,,75.00, 60.00 ,75.00
1/12/2023,GCS,Goshen Schools: Goshen Intermediate ,ELK,,Meals,Backpack,,,,,,,,262.50, 210.00 ,262.50
1/12/2023,GCS,Goshen Schools: Model Elementary,ELK,,Meals,Backpack,,,,,,,,112.50, 90.00 ,112.50
1/12/2023,GCS,Goshen Schools: Parkside Elementary,ELK,,Meals,Backpack,,,,,,,,37.50, 30.00 ,37.50
1/12/2023,GCS,Goshen Schools: Prairie View Elementary,ELK,,Meals,Backpack,,,,,,,,15.00, 12.00 ,15.00
1/12/2023,GCS,Goshen Schools: Waterford Elementary,ELK,,Meals,Backpack,,,,,,,,112.50, 90.00 ,112.50
1/12/2023,GCS,Goshen Schools: West Goshen Elementary,ELK,,Meals,Backpack,,,,,,,,157.50, 126.00 ,157.50
1/12/2023,GFP,Gymtown Food Pantry,ELK,,Bulk,CCFN,362.00,,30.00,133.50,26.50,158.00,637.50,0.00,,"1,347.50"
1/12/2023,GFP,Gymtown Food Pantry,ELK,,Meals & Bread,CCFN,,,,,56.00,,,37.50, 30.00 ,93.50
1/12/2023,HCH,Heart City Health,ELK,,Meals,CCFN,,,,,,,,247.50, 198.00 ,247.50
1/12/2023,MIDD,Middlebury Food Pantry,ELK,,Bread,CCFN,,,,,282.80,,,0.00,,282.80
1/12/2023,MIDD,Middlebury Food Pantry,ELK,,Bulk,CCFN,230.50,,36.25,,,72.00,39.00,0.00,,377.75
1/12/2023,SALVE,Salvation Army: Elkhart,ELK,,Meals,CCFN,,,,,,,,150.00, 120.00 ,150.00
1/12/2023,SALVE,Salvation Army: Elkhart,ELK,,Meals,CCFN,,,,,,,,150.00, 120.00 ,150.00
1/12/2023,SALVG,Salvation Army: Goshen,ELK,,Bulk,CCFN,142.25,,,,,,235.00,0.00,,377.25
1/12/2023,THB,The Hub Bristol,ELK,,Bread,CCFN,,,,,,,,0.00,,0.00
1/12/2023,THB,The Hub Bristol,ELK,,Bulk,CCFN,267.00,,78.00,124.00,70.00,409.00,792.00,0.00,,"1,740.00"
1/13/2023,OTH,Other,OTH,Project Scope,Bulk,CCFN,117.00,,,,,,,0.00,,117.00
1/13/2023,MRN,Maranatha Missionary Baptist Church,SJ,,Meals & Bulk,CCFN,136.00,,,,,,190.00,277.50, 222.00 ,603.50
1/13/2023,SBCS,South Bend Community Schools: Monroe,SJ,,Meals,Backpack,,,,,,,,300.00, 240.00 ,300.00
1/13/2023,SBCS,South Bend Community Schools: Lincoln,SJ,,Meals,Backpack,,,,,,,,450.00, 360.00 ,450.00
1/13/2023,SBCS,South Bend Community Schools: McKinley,SJ,,Meals,Backpack,,,,,,,,187.50, 150.00 ,187.50
1/13/2023,SBCS,South Bend Community Schools: Navarre,SJ,,Meals,Backpack,,,,,,,,187.50, 150.00 ,187.50
1/13/2023,SBCS,South Bend Community Schools: Harrison,SJ,,Meals,Backpack,,,,,,,,562.50, 450.00 ,562.50
1/13/2023,SBCS,South Bend Community Schools: Wilson,SJ,,Meals,Backpack,,,,,,,,375.00, 300.00 ,375.00
1/13/2023,SBCS,South Bend Community Schools: Warren,SJ,,Meals,Backpack,,,,,,,,240.00, 192.00 ,240.00
1/13/2023,SBCS,South Bend Community Schools: Coquillard,SJ,,Meals,Backpack,,,,,,,,240.00, 192.00 ,240.00
1/13/2023,NNE,Near Northeast Neighborhood Center,SJ,,Meals & Bulk,CCFN,33.00,,,,15.00,,,75.00, 60.00 ,123.00
1/13/2023,RMCD,Ronald McDonald House,SJ,,Meals,CCFN,,,,,,,,225.00, 180.00 ,225.00
1/13/2023,DSP,Downtown Soup Kitchen,SJ,,Bread,CCFN,,,,,120.00,,,0.00,,120.00
1/13/2023,VINC,St. Vincent de Paul: Christ the King,ELK,,Meals,CCFN,,,,,,,,60.00, 48.00 ,60.00
1/14/2023,BRCKSJ,Brick of Hope - St Joe County,SJ,,Bulk,CCFN,388.00,,,,640.00,"2,633.00",641.00,0.00,,"4,302.00"
1/16/2023,BRCKSJ,Brick of Hope - St Joe County,SJ,,Bulk,CCFN,,,,,,147.00,121.00,0.00,,268.00
1/16/2023,CTA,Christ Temple Apostolic Church,SJ,,Bulk,CCFN,218.00,,,,,,160.00,0.00,,378.00
1/16/2023,LYD,Lydick UMC,SJ,,Bulk,CCFN,90.00,,,,,18.00,58.00,0.00,,166.00
1/16/2023,OAK,Oaklawn: Properties,SJ,,Bulk,CCFN,,,,,,,89.00,0.00,,89.00
1/16/2023,MIL,Milford Food Bank,ELK,,Bulk,CCFN,,,,,"1,830.00",,,0.00,,"1,830.00"
1/16/2023,OG,Open Gate,ELK,,Bulk,CCFN,,,58.00,24.00,,82.00,60.00,0.00,,224.00
1/17/2023,ANT,Antioch Missionary Baptist Church,SJ,,Bulk,CCFN,23.00,,,,60.00,,107.00,0.00,,190.00
1/17/2023,BRCKSJ,Brick of Hope - St Joe County,SJ,,Bulk,CCFN,,,,,,63.00,,0.00,,63.00
1/17/2023,BCP,Broadway Christian Parish,SJ,,Bulk,CCFN,60.00,,39.00,,28.00,166.00,214.00,0.00,,507.00
1/17/2023,CCFP,Clay Church Food Pantry,SJ,,Meals,CCFN,,,,,,,,375.00, 300.00 ,375.00
1/17/2023,MRN,Maranatha Missionary Baptist Church,SJ,,Meals & Bulk,CCFN,42.00,,,,,,,75.00, 60.00 ,117.00
1/17/2023,STA,St Augustine's Parish,SJ,,Bread,CCFN,,,,,210.00,,,0.00,,210.00
1/17/2023,STA,St Augustine's Parish,SJ,,Bulk,CCFN,,,46.00,,,,,0.00,,46.00
1/17/2023,VINC,St. Vincent de Paul: Center,ELK,,Bulk,CCFN,,,,,210.00,356.00,79.00,0.00,,645.00
1/17/2023,VINC,St. Vincent de Paul: Christ the King,ELK,,Meals & Bulk,CCFN,31.00,,,15.00,1.00,,4.00,37.50, 30.00 ,88.50
1/17/2023,VINC,St. Vincent de Paul: St Pius,ELK,,Meals,CCFN,,,,,,,,75.00, 60.00 ,75.00
1/18/2023,BGCE,Boys & Girls Club Elkhart County ,ELK,Nappanee,Bulk,Backpack,32.00,,2.00,1.00,70.00,32.00,41.00,0.00,,178.00
1/18/2023,BL,Bread of Life,MAR,,Bread,CCFN,,,,,420.00,,,0.00,,420.00
1/18/2023,BL,Bread of Life,MAR,,Bulk,CCFN,7.00,,8.00,,420.00,220.00,442.00,0.00,,"1,097.00"
1/18/2023,BRE,Bremen Schools,MAR,,Meals,Backpack,,,,,,,,450.00, 360.00 ,450.00
1/18/2023,DAV,David's Courage,MAR,,Bread,CCFN,,,,,14.00,,,0.00,,14.00
1/18/2023,DAV,David's Courage,MAR,,Bread,CCFN,,,,,51.80,,,0.00,,51.80
1/18/2023,MCNC,Marshall County Neighborhood Center,MAR,,Bread,CCFN,,,,,280.00,,,0.00,,280.00
1/18/2023,MCNC,Marshall County Neighborhood Center,MAR,,Bulk,CCFN,199.00,,,60.00,525.00,,60.00,0.00,,844.00
1/18/2023,MHM,Monastery of the Holy Martyrs,MAR,,Bread,CCFN,,,,,168.00,,,0.00,,168.00
1/18/2023,MHM,Monastery of the Holy Martyrs,MAR,,Meals & Bulk,CCFN,24.00,,,4.00,63.00,,437.00,150.00, 120.00 ,678.00
1/18/2023,OC,Oakhaven Community,MAR,,Bulk,CCFN,87.00,,,,,,,0.00,,87.00
1/18/2023,AIDS,Aids Ministries,SJ,,Bread,CCFN,,,,,72.80,,,0.00,,72.80
1/18/2023,ANT,Antioch Missionary Baptist Church,SJ,,Bread,CCFN,,,,,14.00,,,0.00,,14.00
1/18/2023,SBCS,South Bend Community Schools: Madison STEAM Academy,SJ,,Meals,Backpack,,,,,,,,750.00, 600.00 ,750.00
1/18/2023,LVL,LaVille Elementary,SJ,,Meals,Backpack,,,,,,,,300.00, 240.00 ,300.00
1/18/2023,BRCKSJ,Brick of Hope - St Joe County,SJ,,Bread,CCFN,,,,,63.00,,,0.00,,63.00
1/18/2023,BRCKSJ,Brick of Hope - St Joe County,SJ,,Bulk,CCFN,82.00,,,,,,32.00,0.00,,114.00
1/18/2023,BRCKSJ,Brick of Hope - St Joe County,SJ,,Bulk,CCFN,80.00,,,,152.60,63.00,,0.00,,295.60
1/18/2023,BCP,Broadway Christian Parish,SJ,,Bread,CCFN,,,,,42.00,,,0.00,,42.00
1/18/2023,BCP,Broadway Christian Parish,SJ,,Bread,CCFN,,,,,112.00,,,0.00,,112.00
1/18/2023,BCP,Broadway Christian Parish,SJ,,Meals & Bulk,CCFN,25.00,,35.00,6.00,,,6.00,75.00, 60.00 ,147.00
1/18/2023,BCP,Broadway Christian Parish,SJ,,Bulk,CCFN,98.00,,,,,,110.00,0.00,,208.00
1/18/2023,MRN,Maranatha Missionary Baptist Church,SJ,,Bulk,CCFN,42.00,,,,,,,0.00,,42.00
1/18/2023,MFP,Mishawaka Food Pantry,SJ,,Bread,CCFN,,,,,285.60,,,0.00,,285.60
1/18/2023,MFP,Mishawaka Food Pantry,SJ,,Meals & Bulk,CCFN,,,,48.00,,71.00,16.00,30.00, 24.00 ,165.00
1/18/2023,OAK,Oaklawn: Properties,SJ,,Bulk,CCFN,36.00,,,,49.00,,,0.00,,85.00
1/18/2023,OAK,Oaklawn: Hope Ave,SJ,,Bulk,CCFN,294.00,,,,37.00,126.00,221.00,0.00,,678.00
1/18/2023,OAK,Oaklawn: Hope Ave,SJ,,Bulk,CCFN,16.00,,,,21.00,31.00,33.00,0.00,,101.00
1/18/2023,OAK,Oaklawn: Hope Ave,SJ,,Bulk,CCFN,72.00,,,,,,32.00,0.00,,104.00
1/18/2023,LADY,Our Lady of the Road,SJ,,Meals,CCFN,,,,,,,,37.50, 30.00 ,37.50
1/18/2023,STA,St Augustine's Parish,SJ,,Bread,CCFN,,,,,70.00,,,0.00,,70.00
1/18/2023,STA,St Augustine's Parish,SJ,,Bulk,CCFN,56.00,,,,,,,0.00,,56.00
1/18/2023,SH,Store House,SJ,,Bulk,CCFN,282.00,,116.00,85.00,617.40,44.00,197.00,0.00,,"1,341.40"
1/18/2023,DSP,Downtown Soup Kitchen,SJ,,Bulk,CCFN,,,,,48.00,,17.00,0.00,,65.00
